time,x,y,z,rx,ry,rz,rw
0,9.526072461962798e-07,-1.2914660634887106e-06,-3.7534263811478397e-06,-3.7425096355292453e-10,-1.2232785894574503e-07,-2.079364924106983e-07,-2.313699338926873e-06
1,-0.00035332719547920277,-6.855337930210705e-08,-0.0012316335981562565,3.3306690738754696e-16,-4.29663899945143e-15,7.724859163796283e-13,2.670322188196017e-14
2,-0.000729514957037658,-1.4344048035011004e-06,-0.00296574917322312,-3.2990021825440863e-10,-1.22306617454757e-07,-8.480454566990765e-08,-2.3113632859701934e-06
3,-0.0011119952652354215,-8.904099685254159e-07,-0.0045686435040336315,2.0921895105274757e-08,-4.575673559557673e-09,5.4253393244429245e-05,3.0744246912016307e-07
4,-0.0014882911771934015,-1.6484727789068238e-06,-0.006138394412798731,5.881812747965398e-08,-1.750171561978398e-08,0.00013768894186493849,6.085813356729915e-07
5,-0.0018605017583640526,-4.037334052244993e-06,-0.007577565660610852,1.4635640721571974e-07,-1.7250157485830487e-07,0.0002911096366095288,-1.25243001129592e-06
6,-0.0022325454320832883,-4.268185914415067e-06,-0.008739919319833311,3.765637559549617e-07,-1.08496764705617e-07,0.0005806853024915885,1.7073894036172775e-06
7,-0.0026036420444718322,-5.703986126983307e-06,-0.009731731626362539,7.971678016582828e-07,-1.727943960177147e-07,0.0009543955470194098,2.310157281110441e-06
8,-0.002971036311520625,-8.494314357742027e-06,-0.01039041464087287,1.6499360551147646e-06,-3.7619738462054114e-07,0.0014936675284519074,6.220232482692851e-07
9,-0.003333467359411757,-9.773549929240542e-06,-0.010887754295735852,2.9765221265520836e-06,-4.6406097609406156e-07,0.002108183759402386,1.1454284886493508e-06
10,-0.003685623865836374,-9.611923353404433e-06,-0.011304872688712164,4.792986428969748e-06,-4.4179293776981134e-07,0.0027588301804118173,3.8807910683832676e-06
11,-0.004011547234475277,-1.0851450530316809e-05,-0.011372600878104988,7.700474695226944e-06,-5.53609084117594e-07,0.0035828086219059437,4.2400696930595646e-06
12,-0.004306686440399776,-1.2113876859451586e-05,-0.0112399344648908,1.1752094981054562e-05,-6.587094094932864e-07,0.004503445911863278,4.4382146384719e-06
13,-0.004551144355776637,-1.477264769787834e-05,-0.010733906350834488,1.772325878268699e-05,-8.611590475858695e-07,0.005606659649346929,2.083533843868254e-06
14,-0.00475201337897091,-1.4811821489450115e-05,-0.010082115015911164,2.53637159293163e-05,-7.986989463603582e-07,0.00677347971064792,4.0915764085736885e-06
15,-0.004951175205850422,-1.7034090369837014e-05,-0.00982991850610615,3.275992981577325e-05,-8.988283550788023e-07,0.007744559524507001,1.242025937367772e-06
16,-0.005097917742040825,-1.794236242443424e-05,-0.009333498907634352,4.21051548998852e-05,-8.334673212028907e-07,0.008825804429575309,4.0486103389432166e-07
17,-0.005293619845199382,-1.7255163282098363e-05,-0.009495989184507725,4.929481888904519e-05,-6.460239443960877e-07,0.009577849437327882,1.991368288073068e-06
18,-0.0052570827457636415,-1.8140556592655933e-05,-0.008111458825584672,6.49770738146982e-05,-3.673378141263138e-07,0.011047506882671232,5.777511624281348e-08
19,-0.005304177753570727,-1.86045084991644e-05,-0.007657833864705643,7.689065757610081e-05,-6.966597046193911e-08,0.01204814537913035,-1.6602158788745175e-06
20,-0.0054001836663123415,-1.8872260153003616e-05,-0.007679177500008683,8.660740342725237e-05,2.3053685907985884e-07,0.012808074095515333,-3.2220694837287384e-06
21,-0.005369715196767211,-2.0312723736746146e-05,-0.0071276424241825675,9.992208274423042e-05,6.392450672316769e-07,0.013783238817871612,-7.92937933853446e-06
22,-0.005361685775329583,-2.0435255328547144e-05,-0.006850787742670061,0.00011166889146874137,1.1821531625309063e-06,0.014590821051896524,-1.0094010506599973e-05
23,-0.005343342312141619,-2.0244896329064598e-05,-0.006642112951336543,0.00012278548170885362,1.8126918470613186e-06,0.015316803464112103,-1.2892518511994135e-05
24,-0.0053598240638504935,-1.8197229252044088e-05,-0.006679924767846346,0.00013205061293708464,2.5255164877594828e-06,0.015897111180585666,-1.4569889427355255e-05
25,-0.005332445453763546,-1.6794521051072117e-05,-0.006594971262683602,0.0001413160886983844,3.2565769240907867e-06,0.016457451220719135,-2.044543640234312e-05
26,-0.005345631250007754,-1.6480718565458083e-05,-0.006754329970672879,0.00014854235621331036,3.9052935996000465e-06,0.016881856805512088,-2.924329936378801e-05
27,-0.005247820498349487,-1.4222839652048015e-05,-0.006494151170568729,0.00015617480673890682,5.296262867729819e-06,0.017319066691891753,-3.9599263560116655e-05
28,-0.005315181391325474,-1.274181018431579e-05,-0.00695971631637976,0.00015994843466304864,6.425300695546215e-06,0.017531303640340386,-4.747734807616561e-05
29,-0.005312225616621591,-1.0938989860910474e-05,-0.007160342406892839,0.00016324959997160438,8.012099191761362e-06,0.017714950984188117,-5.843998141671882e-05
30,-0.005276459571869951,-7.825685812517298e-06,-0.007226632808442379,0.00016533986704259096,1.0077341025444963e-05,0.01783030844698276,-6.98352575373858e-05
31,-0.005279493112995137,-6.327294294404812e-06,-0.007448197316025418,0.00016598926082578291,1.2036142290529448e-05,0.017866056262799888,-8.368896189962666e-05
32,-0.005281601881858999,-5.0208812370697744e-06,-0.007648802448670999,0.0001656363122590765,1.412317638991125e-05,0.01784676077979141,-9.893880850493555e-05
33,-0.005242949860227442,-5.074059767228926e-06,-0.0076670052651522935,0.00016422038127039684,1.6416602004736154e-05,0.01776890564075863,-0.0001195198193926535
34,-0.0050923633523861644,-3.880407229990335e-06,-0.007193706677118605,0.00016080812389573929,1.9409412857509427e-05,0.017579769829308343,-0.00014479311799234815
35,-0.005242690865826627,-3.5320135959252536e-06,-0.007971468839617857,0.00015886369683570933,2.0653239976723748e-05,0.01747107411641051,-0.00015623950633092672
36,-0.005238631917844461,-3.061084655229014e-06,-0.008091836205875225,0.00015513091798646794,2.2671136748061104e-05,0.01726050433109194,-0.0001761134462377592
37,-0.0051873424178771055,-1.4633778166787853e-06,-0.007992036454693485,0.0001505708303057851,2.4953258666167996e-05,0.016999774301880436,-0.00019692532832432847
38,-0.00520396708498283,-2.588419458953707e-06,-0.008188461480871712,0.00014656809056678988,2.658328084519622e-05,0.016767597005556568,-0.0002189139041158803
39,-0.00509135298632446,-2.513925427701748e-06,-0.00782609857938199,0.00014084480106646424,2.8773188742679367e-05,0.016430013629641103,-0.0002462090428256133
40,-0.005138732317897854,-2.5606009115618184e-06,-0.008155646067940725,0.00013672182381230247,3.0098428969931295e-05,0.016182528343658804,-0.00026483326391238773
41,-0.005098299027357478,-2.6616751753482344e-06,-0.00812209171190692,0.00013134435790551624,3.160955254220263e-05,0.01585403267333273,-0.0002885383645524543
42,-0.00492184525628403,-1.5654203399313937e-06,-0.007525788646810472,0.0001241598428840529,3.3458953670579834e-05,0.015404434725445029,-0.0003177180357571075
43,-0.004994332101247556,-2.9466859956807216e-06,-0.007995673895478617,0.000120251436629637,3.416588267056886e-05,0.015154307298785282,-0.00033711617307270893
44,-0.004931228292361922,-3.0816311253051195e-06,-0.007907621274770515,0.0001146461265348897,3.5186048995175794e-05,0.01478837446036061,-0.00036176696950619925
45,-0.004859052035230849,-3.179608490123856e-06,-0.0077950194590335475,0.00010912518489269996,3.60358253519127e-05,0.014419040238061318,-0.0003865611118856016
46,-0.004871110510418553,-3.2318166445605587e-06,-0.008037338667537697,0.000104778139902173,3.657821884446588e-05,0.014121568827426502,-0.0004064158844781758
47,-0.004694850680641571,-3.2062784186766577e-06,-0.007527334849567191,9.834453378110286e-05,3.711107277961783e-05,0.013669676839942725,-0.00043601305936297457
48,-0.004885951599631011,-3.2223340375783043e-06,-0.008508953441726086,9.623511259349016e-05,3.721096358771291e-05,0.013518291598680787,-0.00044580552725620773
49,-0.004520569345476511,-2.9856380097736934e-06,-0.007266888163672325,8.7854849922131e-05,3.7130109082911234e-05,0.012899734307569825,-0.0004842648516604222
50,-0.004208246520271741,-1.4033364554382476e-06,-0.0062550023031770485,8.013770343973103e-05,3.643285216019357e-05,0.012303388684494982,-0.0005167278356185319
51,-0.004539138289533562,-2.684880022016119e-06,-0.007809132412974651,7.963137865885095e-05,3.6212973447540496e-05,0.012263200849032332,-0.0005212129101278482
52,-0.004240826611075721,-1.0261881311397611e-06,-0.006870427290566361,7.210292116122119e-05,3.471954765931574e-05,0.01165090605426323,-0.0005518567200114492
53,-0.004262980309768016,-8.267077791400692e-07,-0.0072055298827596315,6.821647202959191e-05,3.356782477014538e-05,0.011322187398878265,-0.0005686031907059456
54,-0.004203145263671271,-5.76055457683431e-07,-0.007220208706411935,6.35002972504406e-05,3.1902683824973365e-05,0.010910385862922352,-0.000588686638691417
55,-0.004232276659965617,-3.881551141117952e-07,-0.007583541358651413,5.992793242048933e-05,3.0422779265550906e-05,0.010588110579628366,-0.0006041107762443672
56,-0.004088753419008828,-7.562870989882861e-08,-0.007263342845181542,5.494485422674611e-05,2.801406698826973e-05,0.010121956021756383,-0.000626145304542273
57,-0.004033988492087359,1.4573068149360332e-07,-0.007286252086240619,5.113130816003508e-05,2.5883742264893087e-05,0.009750635572724754,-0.0006434108600822465
58,-0.003889610293231649,4.1419579866023465e-07,-0.006942560579090595,4.704792896670362e-05,2.3248215704643835e-05,0.009337191259671602,-0.0006628418707405519
59,-0.003874340431868517,-6.529004588643597e-07,-0.007106792962286168,4.430955437473294e-05,2.109957492502074e-05,0.009049565675149338,-0.0006786301362788895
60,-0.00360566817620922,7.958001280475623e-07,-0.006220243735338193,4.021439594781295e-05,1.7968556845502693e-05,0.008602491898700779,-0.0006969609994111292
61,-0.0036879991952775137,-4.3106825887954444e-07,-0.006751608062340986,3.845256811474407e-05,1.6316427298833304e-05,0.008402927009220523,-0.0007077426474530591
62,-0.0037772253821837243,7.432759611131768e-07,-0.007292598196476041,3.675898239419162e-05,1.5017323496659509e-05,0.008207013589850605,-0.0007134748321476006
63,-0.0037092805269013374,-5.906962172378751e-07,-0.007180456370494581,3.4302112126849416e-05,1.266414146204771e-05,0.007914184722411621,-0.0007268156443462347
64,-0.0035634598451929067,4.90227664223706e-07,-0.006713044761608833,3.181277705144314e-05,1.0428855552620817e-05,0.007606818691706677,-0.0007359607156671406
65,-0.0036632708932295976,-8.470776343317208e-07,-0.007274222105686345,3.0611440290817526e-05,9.072448148934355e-06,0.007453918720026943,-0.0007433558620836377
66,-0.003574444509937158,-1.0311004224691269e-06,-0.007012046228472513,2.874548611009331e-05,7.201255142897289e-06,0.007210621178784065,-0.0007508410695152936
67,-0.003533708817090142,6.602374111411347e-08,-0.0065039740101108245,2.7784852649981318e-05,6.385307378429053e-06,0.007082468487535853,-0.0007522258536302891
68,-0.0035438665204274855,-1.274198079847564e-06,-0.006250636793845854,2.669387564635528e-05,5.079704103181965e-06,0.006933819809690915,-0.0007581165325611785
69,-0.003578212791468194,-1.6009173409543376e-07,-0.006485353110267433,2.5768309013018964e-05,4.2522657197865054e-06,0.006805668358361509,-0.0007587944645356905
70,-0.0034656577642195874,-1.3771824619461586e-06,-0.006088556752032626,2.4646955100959822e-05,2.8949424516950574e-06,0.006646908745216376,-0.000763539562289255
71,-0.0035073878522948743,-1.5326046550412768e-07,-0.006359840358811375,2.4004310521630323e-05,2.4133193187176726e-06,0.0065546548939294244,-0.0007621931228370421
72,-0.003223638531321127,9.962957127764181e-08,-0.00523304852033224,2.3009914205229798e-05,1.5137259059855735e-06,0.006409293477941857,-0.0007615054365396881
