0 0.5570053471504294 0.0007022980572042699 0.5192012619716946 3.132831694167399 0.014522202863564475 -0.002373992123258869       0.5570876499358397 0.0007107334926831474 0.519171060614654 3.133710377250021 0.014593904477472918 -0.0022428509385721495
1 0.5569627646282557 0.0007629423413793638 0.5187604609079589 3.132813736556362 0.01512046308490874 -0.0022569004027041925       0.5570879048906714 0.0007112511726969719 0.5191703227191056 3.133718276572539 0.014579319484974127 -0.0022405504353800944
2 0.5569379661919058 0.0008105132546994122 0.5184315832676268 3.132802374364647 0.015535860911914666 -0.0021652039268200913       0.5570886690748332 0.0007128028313374751 0.5191681110014944 3.133726175859821 0.01456473447430535 -0.00223825004790086
3 0.5569199908775716 0.0008451189659136608 0.5181987669616713 3.1327943510978855 0.015831121852681446 -0.002098610400933068       0.5570899414678258 0.0007153863965032002 0.5191644284153716 3.133734075111872 0.014550149445467581 -0.0022359497761335373
4 0.5568916003224523 0.0008977006326169938 0.517856285626643 3.132782362569515 0.016272943603853562 -0.0019976350333018715       0.5570917210491491 0.0007189997960926913 0.5191592779142885 3.1337419743286934 0.0145355643984618 -0.0022336496200772177
5 0.5568753260217676 0.0009262111556435956 0.5176771203766525 3.132775926768605 0.016509781532659182 -0.0019430104693675754       0.5570940067983038 0.0007236409580044921 0.5191526624517964 3.1337498735102898 0.014520979333289007 -0.0022313495797309933
6 0.5568512054176736 0.0009660024886397567 0.5174364326969307 3.1327669960834497 0.01683723146544654 -0.0018669564578316384       0.5570967976947899 0.0007293078101371462 0.5191445849814464 3.1337577726566637 0.01450639424995019 -0.0022290496550939573
7 0.5568264833373351 0.0010036580010485204 0.5172212188082805 3.1327585769740143 0.017143198483274703 -0.0017952354323725395       0.557100092718108 0.0007359982803891972 0.5191350484567898 3.1337656717678195 0.014491809148446342 -0.0022267498461651996
8 0.5568016834676275 0.0010382557858833747 0.5170377976497846 3.1327508765510275 0.017419754480623346 -0.0017296262611063936       0.5571038908477585 0.0007437102966591893 0.5191240558313778 3.1337735708437595 0.014477224028778447 -0.0022244501529438136
9 0.5567726160290044 0.0010747922611836604 0.5168652667150588 3.132742802868335 0.01770443457444911 -0.001660768630741893       0.5571081910632414 0.0007524417868456656 0.5191116100587616 3.1337814698844877 0.01446263889094751 -0.002222150575428893
10 0.5567541101033527 0.0010957675764559289 0.5167805804185188 3.132738203933868 0.01786239856863985 -0.00162153033811408       0.5571129923440574 0.0007621906788471704 0.5190977140924926 3.133789368890007 0.014448053734954511 -0.002219851113619528
