px py pz ox oy oz ow
0.431821 -0.107538 0.141754 0.998601 0.0497751 -0.0153673 0.00905243
0.431822 -0.107537 0.141756 0.998601 0.0497725 -0.0153653 0.00905229
0.431821 -0.107538 0.141756 0.998601 0.0497728 -0.015365 0.00905211
0.431822 -0.107538 0.141755 0.998601 0.0497733 -0.0153662 0.00905164
0.431823 -0.107535 0.141756 0.998601 0.0497772 -0.0153655 0.00905265
0.43182 -0.107536 0.141754 0.998601 0.0497737 -0.0153673 0.00905196
0.431822 -0.107539 0.141756 0.998601 0.0497714 -0.0153651 0.00905251
0.431821 -0.107538 0.141755 0.998601 0.0497737 -0.015367 0.00905223
0.431822 -0.107536 0.141756 0.998601 0.0497798 -0.0153663 0.00905191
0.431822 -0.107537 0.141756 0.998601 0.0497736 -0.0153649 0.00905236
0.431822 -0.107538 0.141755 0.998601 0.0497742 -0.0153661 0.0090522
0.431824 -0.107538 0.141758 0.998601 0.0497734 -0.0153629 0.00905294
0.431823 -0.107536 0.141757 0.998601 0.0497759 -0.0153642 0.00905278
0.431822 -0.107536 0.141754 0.998601 0.0497743 -0.0153669 0.0090521
0.431821 -0.107536 0.141756 0.998601 0.0497763 -0.015366 0.00905196
0.431823 -0.107537 0.141755 0.998601 0.0497753 -0.0153661 0.00905251
0.431825 -0.107531 0.141757 0.998601 0.0497836 -0.0153642 0.00905251
0.431821 -0.107538 0.141754 0.998601 0.0497726 -0.0153673 0.00905262
0.431821 -0.107535 0.141753 0.998601 0.0497755 -0.0153683 0.00905133
0.431822 -0.107536 0.141756 0.998601 0.0497751 -0.0153659 0.0090517
0.431821 -0.107538 0.141756 0.998601 0.0497733 -0.0153654 0.00905226
0.431819 -0.107565 0.141757 0.998603 0.0497434 -0.0153632 0.00905418
0.43183 -0.107552 0.141764 0.998602 0.04976 -0.0153539 0.00905618
0.431824 -0.107552 0.141756 0.998602 0.0497606 -0.0153644 0.00905493
0.431817 -0.107589 0.141762 0.998604 0.0497218 -0.0153581 0.00905747
0.431837 -0.107684 0.141803 0.99861 0.0496184 -0.0153045 0.00907112
0.432071 -0.107678 0.141958 0.998609 0.0496792 -0.0150873 0.00913428
0.432462 -0.107655 0.142241 0.998608 0.049799 -0.0147027 0.00923576
0.432951 -0.107763 0.142649 0.998615 0.0497956 -0.0141604 0.00937522
0.433728 -0.107935 0.143323 0.998626 0.0497868 -0.0132744 0.00959649
0.434472 -0.108093 0.143958 0.998634 0.0497897 -0.012439 0.00980814
0.435418 -0.108294 0.144898 0.998647 0.0497694 -0.0112411 0.0100737
0.436086 -0.108411 0.145729 0.998656 0.0497624 -0.0102265 0.0102548
0.436587 -0.108451 0.146516 0.998663 0.0497789 -0.00929821 0.0103821
0.437006 -0.108446 0.147475 0.998671 0.0497944 -0.00821421 0.0104774
0.437327 -0.108438 0.148231 0.998676 0.049804 -0.00736089 0.0105497
0.437745 -0.10842 0.149239 0.998682 0.049824 -0.00623335 0.0106414
0.438283 -0.108426 0.150584 0.998689 0.0498171 -0.00476684 0.0107559
0.438776 -0.108423 0.151984 0.998695 0.0498027 -0.00335154 0.0108388
0.439325 -0.108421 0.153424 0.998698 0.049796 -0.00183624 0.0109463
0.439953 -0.10842 0.15494 0.998697 0.0498066 -0.000128456 0.0110955
0.440926 -0.108286 0.157084 0.998683 0.0499853 0.00229946 0.0113222
0.442103 -0.107983 0.159566 0.99865 0.0503755 0.0051057 0.0115922
0.442925 -0.107665 0.161405 0.998616 0.0507492 0.00716721 0.0117718
0.443768 -0.107288 0.163328 0.998575 0.0511756 0.00931959 0.0119523
0.444458 -0.106931 0.164901 0.998534 0.0515745 0.0110773 0.0120978
0.445181 -0.106538 0.16645 0.998489 0.0520218 0.0128153 0.0122502
0.445913 -0.10619 0.167833 0.998443 0.052439 0.0143888 0.0124118
0.447496 -0.105677 0.169999 0.998372 0.0529628 0.0169506 0.0126631
0.44824 -0.105517 0.170744 0.998346 0.053125 0.0178766 0.0127926
0.449695 -0.1053 0.171832 0.998311 0.053212 0.0192785 0.0131099
0.451058 -0.105076 0.172734 0.998268 0.0534887 0.0204556 0.0134534
0.452506 -0.104791 0.173662 0.998213 0.0539453 0.0216672 0.0138205
0.454067 -0.104504 0.174685 0.998146 0.054532 0.022992 0.0142217
0.455038 -0.104376 0.1754 0.998108 0.0547654 0.0238978 0.014474
0.456117 -0.104309 0.176244 0.998067 0.0549709 0.0249549 0.014761
0.457261 -0.104335 0.177147 0.998024 0.0551329 0.0260834 0.0150742
0.457994 -0.104403 0.177722 0.998 0.0551794 0.026806 0.0152792
0.458447 -0.104489 0.177975 0.997987 0.0552002 0.0271506 0.0154148
0.458757 -0.104565 0.17798 0.997983 0.0552106 0.0272176 0.015509
0.459197 -0.104597 0.177837 0.99798 0.0552626 0.0271623 0.0156329
0.460347 -0.104536 0.177765 0.997967 0.0553401 0.0273134 0.0159304
0.460844 -0.104494 0.17777 0.997961 0.055359 0.0274127 0.0160575
0.461696 -0.104424 0.177711 0.997958 0.055295 0.027515 0.0162723
0.462695 -0.104318 0.177427 0.997967 0.0551162 0.0274264 0.0165182
0.463595 -0.104123 0.176865 0.998014 0.0543698 0.0270531 0.0167224
0.464565 -0.10392 0.1764 0.998063 0.0535222 0.0268146 0.0169488
0.46569 -0.103727 0.176116 0.998086 0.0530115 0.0267797 0.0172283
0.46702 -0.103522 0.175857 0.998126 0.0521393 0.026807 0.0175496
0.468662 -0.103248 0.175714 0.998129 0.0518335 0.0270073 0.0179607
